,date,open,close,high,low,volume,code
160,2017-08-29,19.873,19.65,20.039,19.603,2368.0,600419
161,2017-08-30,19.538,19.368,19.715,19.264,3253.0,600419
162,2017-08-31,19.384,19.445,19.553,19.349,2718.0,600419
163,2017-09-01,19.492,19.303,19.503,19.21,3878.0,600419
164,2017-09-04,19.268,19.145,19.299,18.998,5455.0,600419
165,2017-09-05,19.148,19.222,19.407,19.106,3914.0,600419
166,2017-09-06,19.222,19.222,19.345,19.025,2796.0,600419
167,2017-09-07,19.226,19.441,19.53,19.226,4327.0,600419
168,2017-09-08,19.653,19.303,19.653,19.091,2394.0,600419
169,2017-09-11,19.237,19.287,19.441,19.229,3000.0,600419
170,2017-09-12,19.229,19.723,19.769,19.229,6303.0,600419
171,2017-09-13,19.723,19.885,19.985,19.468,6021.0,600419
172,2017-09-14,19.973,19.723,20.047,19.623,9288.0,600419
173,2017-09-15,19.723,19.946,20.425,19.507,10035.0,600419
174,2017-09-18,19.908,21.847,21.847,19.908,10162.0,600419
175,2017-09-19,22.853,23.197,23.856,22.267,21574.0,600419
176,2017-09-20,23.44,22.746,23.779,22.468,20662.0,600419
177,2017-09-21,23.008,21.67,23.008,21.624,19144.0,600419
178,2017-09-22,21.774,21.604,21.998,21.003,9643.0,600419
179,2017-09-25,21.392,22.453,22.931,21.392,18963.0,600419
180,2017-09-26,22.225,22.595,22.931,22.206,11663.0,600419
181,2017-09-27,22.954,22.491,22.969,22.318,9995.0,600419
182,2017-09-28,22.429,23.524,23.856,22.418,18899.0,600419
183,2017-09-29,23.547,25.228,25.668,23.362,31323.0,600419
184,2017-10-09,25.217,25.213,26.2,24.477,14130.0,600419
185,2017-10-10,25.209,25.19,25.629,24.928,10009.0,600419
186,2017-10-11,25.063,25.976,26.389,25.063,14048.0,600419
187,2017-10-12,25.996,25.938,26.655,25.36,10466.0,600419
188,2017-10-13,25.899,25.282,26.323,25.24,8407.0,600419
189,2017-10-16,25.379,24.716,26.015,24.635,10025.0,600419
190,2017-10-17,24.596,24.585,25.24,24.473,6571.0,600419
191,2017-10-18,24.677,24.184,24.935,24.041,6693.0,600419
192,2017-10-19,24.207,25.198,25.807,24.207,9150.0,600419
193,2017-10-20,25.36,24.928,25.398,24.673,5463.0,600419
194,2017-10-23,24.743,25.128,25.437,24.627,5156.0,600419
195,2017-10-24,25.043,23.763,25.043,23.359,13308.0,600419
196,2017-10-25,23.783,24.126,24.319,23.779,7066.0,600419
197,2017-10-26,24.199,24.257,26.015,23.948,14856.0,600419
198,2017-10-27,24.82,24.623,24.82,24.099,7146.0,600419
199,2017-10-30,24.388,24.01,24.708,23.501,8341.0,600419
200,2017-10-31,23.787,23.875,24.006,23.702,3378.0,600419
201,2017-11-01,23.898,23.671,24.053,23.316,6132.0,600419
202,2017-11-02,23.655,22.638,23.671,22.275,12210.0,600419
203,2017-11-03,22.584,22.279,22.746,21.697,9936.0,600419
204,2017-11-06,22.422,22.977,23.15,22.163,5933.0,600419
205,2017-11-07,22.988,22.865,23.578,22.352,9445.0,600419
206,2017-11-08,22.853,22.761,23.123,22.503,5641.0,600419
207,2017-11-09,22.734,22.545,22.884,22.16,6304.0,600419
208,2017-11-10,22.557,22.919,23.027,22.352,9663.0,600419
209,2017-11-13,22.896,22.533,23.15,22.499,8064.0,600419
210,2017-11-14,22.545,22.19,22.545,22.113,6436.0,600419
211,2017-11-15,22.163,21.959,22.472,21.651,4671.0,600419
212,2017-11-16,22.017,22.491,22.499,21.427,8502.0,600419
213,2017-11-17,22.48,22.287,22.638,21.697,7587.0,600419
214,2017-11-20,22.048,22.248,22.252,21.423,6056.0,600419
215,2017-11-21,22.24,22.179,22.819,21.774,9302.0,600419
216,2017-11-22,22.117,21.72,22.14,21.604,6951.0,600419
217,2017-11-23,21.581,20.629,21.662,20.617,8651.0,600419
218,2017-11-24,20.675,20.34,20.675,20.155,4438.0,600419
219,2017-11-27,20.467,19.893,20.61,19.769,3950.0,600419
220,2017-11-28,19.908,20.193,20.344,19.653,3762.0,600419
221,2017-11-29,19.97,20.031,20.197,19.696,4785.0,600419
222,2017-11-30,20.051,19.997,20.405,19.927,3043.0,600419
223,2017-12-01,20.135,19.815,20.135,19.75,4868.0,600419
224,2017-12-04,19.846,19.152,19.916,19.148,7253.0,600419
225,2017-12-05,19.152,17.649,19.152,17.556,19586.0,600419
226,2017-12-06,17.649,17.776,17.845,17.255,10183.0,600419
227,2017-12-07,17.78,18.03,18.285,17.533,9590.0,600419
228,2017-12-08,17.822,18.339,18.952,17.822,10245.0,600419
229,2017-12-11,18.343,19.542,19.646,18.343,14199.0,600419
230,2017-12-12,19.808,19.121,19.808,19.106,7837.0,600419
231,2017-12-13,19.268,19.175,19.384,19.017,4563.0,600419
232,2017-12-14,19.268,19.199,19.268,18.767,4812.0,600419
233,2017-12-15,19.083,18.898,19.083,18.813,3889.0,600419
234,2017-12-18,18.998,19.118,19.21,18.809,4333.0,600419
235,2017-12-19,19.118,19.145,19.26,19.021,2327.0,600419
236,2017-12-20,19.148,18.732,19.148,18.697,4401.0,600419
237,2017-12-21,19.013,19.017,19.191,18.821,5407.0,600419
238,2017-12-22,18.882,18.909,19.148,18.825,3013.0,600419
